Feature,VI_Aggregate,VI_RF,VI_ET,VI_Stat
cylinders,0.384360033509742,0.4118708074186143,0.4317117520486446,0.23463504861419215
weight,0.2801019249018309,0.305085375192939,0.22052235936537806,0.3492941553925202
horsepower,0.1435960766974901,0.10654465647690903,0.13658964244119112,0.2317117856512502
model_year,0.13060707509168046,0.13548480256043455,0.15173913878999107,0.07858749275755104
origin,0.030872373418860864,0.009070706721416374,0.03191750136975166,0.07238545091196825
acceleration,0.03046251638039567,0.0319436516296866,0.027519605985043497,0.03338606667251813
