dataset,model,r2,rmse,mae,mape,accuracy,precision,recall,f1,error_rate
BostonHousing,RLT-ExtraTrees,0.9039011387242838,2.6546738132484995,1.9314134210774208,10.26614680007901,,,,,
WineQuality_Red,Extra Trees,,,,,0.6029411764705882,0.55672336161616,0.6029411764705882,0.5725324944010841,0.39705882352941174
WineQuality_White,RLT-RandomForest,,,,,0.5573770491803278,0.5421903701219869,0.5573770491803278,0.5243161949203378,0.4426229508196721
Sonar,Extra Trees,,,,,0.8809523809523809,0.8881792717086835,0.8809523809523809,0.8799255182233905,0.11904761904761904
Parkinsons,RLT-RandomForest,,,,,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.05128205128205128
WDBC_BreastCancer,Extra Trees,,,,,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.03508771929824561
AutoMPG,Extra Trees,0.8734835891950261,2.608129115860164,1.8402497751942608,8.317997704075468,,,,,
SchoolData,RLT-RandomForest,,,,,0.725,0.7183333333333333,0.725,0.6977272727272728,0.275
