dataset,model,model_type,n_features,train_time,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,primary_metric,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
BostonHousing,Linear Regression,BASELINE,13,6.21783709526062,0.7145935640191651,0.03732533184182667,4.84841654568582,0.18788940913420243,3.395109633148151,0.18920682525460206,0.7145935640191651,,,,,,
BostonHousing,Ridge Regression,BASELINE,13,0.09070682525634766,0.7116311570058169,0.03773072427678644,4.87213538679241,0.15669803961875645,3.3873187651923344,0.20588262378151762,0.7116311570058169,,,,,,
BostonHousing,Lasso Regression,BASELINE,13,0.08378720283508301,0.6993670608588192,0.037636652199683554,4.975582542191876,0.11431614247002804,3.442178036075604,0.23030639675857106,0.6993670608588192,,,,,,
BostonHousing,Decision Tree,BASELINE,13,0.2774486541748047,0.7803874695248809,0.06253748683185734,4.246400424082247,0.7523466347416605,2.9384096450489445,0.39138274068799705,0.7803874695248809,,,,,,
BostonHousing,Random Forest,BASELINE,13,1.9862689971923828,0.8713774078292353,0.03306835696132095,3.2467787831763495,0.4631081144570315,2.204720465990672,0.21080331247751308,0.8713774078292353,,,,,,
BostonHousing,Extra Trees,BASELINE,13,1.051067590713501,0.8787509895683282,0.02316856433779536,3.1447333368633714,0.22041467513648635,2.1515459764328426,0.15119862441819987,0.8787509895683282,,,,,,
BostonHousing,Gradient Boosting,BASELINE,13,1.327639102935791,0.882815375404099,0.057514437425434765,3.0697710671011067,0.8028096133141348,2.067167408732278,0.3166550451401279,0.882815375404099,,,,,,
BostonHousing,XGBoost,BASELINE,13,0.6735219955444336,0.8847189109164466,0.02854260183502989,3.073540732957695,0.42086608318629876,2.1310724942343047,0.21344322070830674,0.8847189109164466,,,,,,
BostonHousing,RLT-RandomForest,RLT,11,1.802504539489746,0.8720595637502793,0.030363957999591826,3.2401651753090297,0.4279246091506579,2.1946977518155597,0.2029484668535552,0.8720595637502793,,,,,,
BostonHousing,RLT-ExtraTrees,RLT,11,1.0037004947662354,0.893814211098384,0.020628941439692506,2.952179353537339,0.29724801342775586,2.0944334139893046,0.18642712396253122,0.893814211098384,,,,,,
BostonHousing,RLT-GradientBoosting,RLT,11,1.211073875427246,0.8870353348781507,0.04153675934875703,3.0397537146972353,0.6284399811157468,2.041357460581352,0.24439333128530175,0.8870353348781507,,,,,,
BostonHousing,RLT-XGBoost,RLT,11,0.5151886940002441,0.8861933717329054,0.02557378720161075,3.061377243818315,0.4105632511143068,2.1145612675572942,0.2431539691670386,0.8861933717329054,,,,,,
WineQuality_Red,Logistic Regression,BASELINE,11,1.9201679229736328,,,,,,,0.58353592359453,0.58353592359453,0.023326904434317584,0.5526352889516085,0.02120838033365845,0.7535220842842231,0.02858305711962154
WineQuality_Red,Decision Tree,BASELINE,11,0.11214089393615723,,,,,,,0.5173079010201868,0.5173079010201868,0.01670676968717986,0.5109250735707487,0.01595866846659925,0.6464496329315129,0.020286149148927245
WineQuality_Red,Random Forest,BASELINE,11,1.7793056964874268,,,,,,,0.5916322986759279,0.5916322986759279,0.023020365780234957,0.5659158206233768,0.021613198720476866,0.7651492329684462,0.027998184395295576
WineQuality_Red,Extra Trees,BASELINE,11,1.1413359642028809,,,,,,,0.5960549164315172,0.5960549164315172,0.031066328242945692,0.5627927946025547,0.027974923707336955,0.7685271485906713,0.031298647727790486
WineQuality_Red,Gradient Boosting,BASELINE,11,14.858670949935913,,,,,,,0.5725119383546776,0.5725119383546776,0.025447656333711655,0.558314904020712,0.02584719820065101,0.742253158176898,0.02477564112563892
WineQuality_Red,RLT-RandomForest,RLT,11,1.765885353088379,,,,,,,0.5908997178207077,0.5908997178207077,0.02325133652116286,0.5656620480193351,0.02215505904238322,0.7661221210203202,0.027911442298889772
WineQuality_Red,RLT-ExtraTrees,RLT,11,1.0814869403839111,,,,,,,0.5960549164315172,0.5960549164315172,0.031066328242945692,0.5627927946025547,0.027974923707336955,0.7685329717755602,0.03129185007008439
WineQuality_Red,RLT-GradientBoosting,RLT,11,15.11658525466919,,,,,,,0.5710304970696767,0.5710304970696767,0.020697742158477382,0.5565465374242863,0.02051921005281288,0.743198088365597,0.023969692074813954
WineQuality_White,Logistic Regression,BASELINE,11,4.409724712371826,,,,,,,0.5190616760288892,0.5190616760288892,0.003628031541706867,0.47389958768980056,0.006463387231612709,0.7007046532922956,0.005351832359956057
WineQuality_White,Decision Tree,BASELINE,11,0.20358896255493164,,,,,,,0.49027793699924843,0.49027793699924843,0.0066287056214998814,0.47721051747820586,0.0069249579060844495,0.6383174419409452,0.008149271433682282
WineQuality_White,Random Forest,BASELINE,11,3.084806442260742,,,,,,,0.5528876405925586,0.5528876405925586,0.013586661944845972,0.5189779412119754,0.014525996145223402,0.7444542353403278,0.006725114022528301
WineQuality_White,Extra Trees,BASELINE,11,1.3752081394195557,,,,,,,0.547839046199702,0.547839046199702,0.006116391578543989,0.49677250505234183,0.005964022316309218,0.7383758253096083,0.0069068453377861385
WineQuality_White,Gradient Boosting,BASELINE,11,35.41310095787048,,,,,,,0.5369842816564129,0.5369842816564129,0.00791429154008087,0.5212174258581075,0.009032520191498127,0.7292356109319341,0.00719433238498072
WineQuality_White,RLT-RandomForest,RLT,11,2.8422439098358154,,,,,,,0.5544018367788859,0.5544018367788859,0.014742337058035208,0.5202467992673452,0.015944753887595635,0.7443130081550988,0.00690849731103173
