dataset,model,model_type,n_features,train_time,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,primary_metric
Parkinsons,Logistic Regression,BASELINE,13,0.29907751083374023,0.8615384615384615,0.03478117940064243,0.8486826815506456,0.04899554630761016,0.8959897828863346,0.04394922350926013,0.8615384615384615
Parkinsons,Decision Tree,BASELINE,13,0.05074810981750488,0.8666666666666666,0.06363935203072235,0.8641988555515638,0.06716913068313798,0.816743295019157,0.09677865140500798,0.8666666666666666
Parkinsons,Random Forest,BASELINE,13,1.0464046001434326,0.9333333333333333,0.034781179400642376,0.9297713369555234,0.03871220345567791,0.9530268199233716,0.020818176104204972,0.9333333333333333
Parkinsons,Extra Trees,BASELINE,13,0.7919952869415283,0.923076923076923,0.03626188621469473,0.9191074176080554,0.03981140870440581,0.9780076628352491,0.012475604120419702,0.923076923076923
Parkinsons,Gradient Boosting,BASELINE,13,1.081071138381958,0.8820512820512821,0.06196433832612603,0.879987550218987,0.0609542335949828,0.8680204342273308,0.07738531402369297,0.8820512820512821
Parkinsons,XGBoost,BASELINE,13,0.18632221221923828,0.9128205128205128,0.06607230116269296,0.910214236148358,0.0687658525048813,0.9644955300127714,0.025883424637489025,0.9128205128205128
Parkinsons,RLT-RandomForest,RLT,13,0.9866664409637451,0.9384615384615385,0.03076923076923074,0.9358227849113481,0.03374373514079724,0.9530268199233716,0.020818176104204972,0.9384615384615385
Parkinsons,RLT-ExtraTrees,RLT,13,0.8516910076141357,0.923076923076923,0.03626188621469473,0.9191074176080554,0.03981140870440581,0.9780076628352491,0.012475604120419702,0.923076923076923
Parkinsons,RLT-GradientBoosting,RLT,13,1.0805952548980713,0.8820512820512821,0.06196433832612603,0.879987550218987,0.0609542335949828,0.8680204342273308,0.07738531402369297,0.8820512820512821
Parkinsons,RLT-XGBoost,RLT,13,0.17193961143493652,0.9128205128205128,0.06607230116269296,0.910214236148358,0.0687658525048813,0.9644955300127714,0.025883424637489025,0.9128205128205128
