dataset,model,model_type,n_features,train_time,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,primary_metric
Sonar,Logistic Regression,BASELINE,60,0.0895700454711914,0.784088269454123,0.07147944893983092,0.7816037228028071,0.074312684322676,0.8486155606407323,0.03551048327100036,0.784088269454123
Sonar,Decision Tree,BASELINE,60,0.09177112579345703,0.7116144018583043,0.03325777431793182,0.7107072044850975,0.03345004221135224,0.7119159558976491,0.03219771063193288,0.7116144018583043
Sonar,Random Forest,BASELINE,60,1.101940631866455,0.8226480836236935,0.05010857322536882,0.8201863088516728,0.05043403178837044,0.9264348866236738,0.03571221934066028,0.8226480836236935
Sonar,Extra Trees,BASELINE,60,0.8777265548706055,0.8560975609756097,0.03261228080954522,0.8555028552788911,0.03260546887453412,0.9578344081547743,0.014771069082774502,0.8560975609756097
Sonar,Gradient Boosting,BASELINE,60,2.9939303398132324,0.7886178861788619,0.030713450691343548,0.7880342163092469,0.03076598659419727,0.8297196796338671,0.05804983363202149,0.7886178861788619
Sonar,XGBoost,BASELINE,60,0.4465022087097168,0.8371660859465738,0.06006184415691451,0.8361485550550457,0.06007827526258798,0.9257915539837736,0.029943073143483268,0.8371660859465738
Sonar,RLT-RandomForest,RLT,42,1.1094133853912354,0.784088269454123,0.06095226587054658,0.7820428045940024,0.06036377313670776,0.9092360099854379,0.03562277845855618,0.784088269454123
Sonar,RLT-ExtraTrees,RLT,42,0.835831880569458,0.8319396051103368,0.029044365811264208,0.8305844547436421,0.02864221421212025,0.9481495735385895,0.021061274354043206,0.8319396051103368
Sonar,RLT-GradientBoosting,RLT,42,2.4049441814422607,0.7450638792102205,0.03659918991077522,0.7437928002966793,0.03707136540145887,0.7957156230497191,0.044331403629601564,0.7450638792102205
Sonar,RLT-XGBoost,RLT,42,0.37047266960144043,0.8465737514518002,0.06768356833383832,0.8454764733643196,0.06808359172516668,0.9343665487830247,0.04238244696373685,0.8465737514518002
