dataset,model,model_type,n_features,train_time,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,primary_metric
WineQuality_Red,Logistic Regression,BASELINE,11,1.9201679229736328,0.58353592359453,0.023326904434317584,0.5526352889516085,0.02120838033365845,0.7535220842842231,0.02858305711962154,0.58353592359453
WineQuality_Red,Decision Tree,BASELINE,11,0.11214089393615723,0.5173079010201868,0.01670676968717986,0.5109250735707487,0.01595866846659925,0.6464496329315129,0.020286149148927245,0.5173079010201868
WineQuality_Red,Random Forest,BASELINE,11,1.7793056964874268,0.5916322986759279,0.023020365780234957,0.5659158206233768,0.021613198720476866,0.7651492329684462,0.027998184395295576,0.5916322986759279
WineQuality_Red,Extra Trees,BASELINE,11,1.1413359642028809,0.5960549164315172,0.031066328242945692,0.5627927946025547,0.027974923707336955,0.7685271485906713,0.031298647727790486,0.5960549164315172
WineQuality_Red,Gradient Boosting,BASELINE,11,14.858670949935913,0.5725119383546776,0.025447656333711655,0.558314904020712,0.02584719820065101,0.742253158176898,0.02477564112563892,0.5725119383546776
WineQuality_Red,RLT-RandomForest,RLT,11,1.765885353088379,0.5908997178207077,0.02325133652116286,0.5656620480193351,0.02215505904238322,0.7661221210203202,0.027911442298889772,0.5908997178207077
WineQuality_Red,RLT-ExtraTrees,RLT,11,1.0814869403839111,0.5960549164315172,0.031066328242945692,0.5627927946025547,0.027974923707336955,0.7685329717755602,0.03129185007008439,0.5960549164315172
WineQuality_Red,RLT-GradientBoosting,RLT,11,15.11658525466919,0.5710304970696767,0.020697742158477382,0.5565465374242863,0.02051921005281288,0.743198088365597,0.023969692074813954,0.5710304970696767
